ID,시도,시군구,읍면동,행정기관코드,총인구수,어린이,노인,겹침 비율
1700,경상북도;경상북도,경주시;경주시,현곡면;강동면,4713036000,27581,4689,6123,0.070840037
1701,경상북도,경주시,천북면,4713038000,5479,470,1895,0
1703,경상북도,경주시,선도동,4713059000,13787,2146,2872,0.186434657
1704,경상북도,경주시,월성동,4713060500,5365,559,1974,0.196578988
1707,경상북도;경상북도,경주시;경주시,동천동;불국동,4713063000,29906,3478,7640,0.082234189
1709,경상북도,김천시,아포읍,4715025000,8033,710,2638,0.014795233
1710,경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도,김천시;김천시;김천시;김천시;김천시;김천시;김천시;김천시,농소면;남면;개령면;감문면;어모면;봉산면;대항면;감천면,4715031000,22923,1386,10429,0.074784527
1711,경상북도;경상북도;경상북도;경상북도;경상북도;경상북도,김천시;김천시;김천시;김천시;김천시;김천시,조마면;구성면;지례면;부항면;대덕면;증산면,4715040000,10341,672,5371,0
1717,경상북도,안동시,풍산읍,4717025000,7870,754,2938,0.012251712
1718,경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도,안동시;안동시;안동시;안동시;안동시;안동시;안동시;안동시;안동시,와룡면;북후면;서후면;풍천면;일직면;남후면;남선면;임하면;길안면,4717031000,28482,1896,12555,0.144701448
1719,경상북도;경상북도;경상북도;경상북도,안동시;안동시;안동시;안동시,임동면;예안면;도산면;녹전면,4717040000,6211,219,3505,0
1721,경상북도,안동시,용상동,4717055500,24112,4304,4550,0.11489751
1724,경상북도,안동시,옥동,4717065000,19811,3671,3771,0.246141033
1726,경상북도,구미시,고아읍,4719025300,38875,7074,6004,0.034969905
1739,경상북도,구미시,임오동,4719066000,17189,3631,1441,0.180634448
1743,경상북도,영주시,풍기읍,4721025000,10311,1239,3928,0
1744,경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도,영주시;영주시;영주시;영주시;영주시;영주시;영주시;영주시;영주시,이산면;평은면;문수면;장수면;안정면;봉현면;순흥면;단산면;부석면,4721031000,19056,956,9824,0.008771891
1748,경상북도,영천시,금호읍,4723025000,10199,708,4044,0.268081675
1750,경상북도,영천시,북안면,4723039000,4256,149,2162,0.060022531
